Book	Chapter	Last
1		50
1	1	31
1	2	25
1	3	24
1	4	26
1	5	32
1	6	22
1	7	24
1	8	22
1	9	29
1	10	32
1	11	32
1	12	20
1	13	18
1	14	24
1	15	21
1	16	16
1	17	27
1	18	33
1	19	38
1	20	18
1	21	34
1	22	24
1	23	20
1	24	67
1	25	34
1	26	35
1	27	46
1	28	22
1	29	35
1	30	43
1	31	55
1	32	32
1	33	20
1	34	31
1	35	29
1	36	43
1	37	36
1	38	30
1	39	23
1	40	23
1	41	57
1	42	38
1	43	34
1	44	34
1	45	28
1	46	34
1	47	31
1	48	22
1	49	33
1	50	26
2		40
2	1	22
2	2	25
2	3	22
2	4	31
2	5	23
2	6	30
2	7	25
2	8	32
2	9	35
2	10	29
2	11	10
2	12	51
2	13	22
2	14	31
2	15	27
2	16	36
2	17	16
2	18	27
2	19	25
2	20	26
2	21	36
2	22	31
2	23	33
2	24	18
2	25	40
2	26	37
2	27	21
2	28	43
2	29	46
2	30	38
2	31	18
2	32	35
2	33	23
2	34	35
2	35	35
2	36	38
2	37	29
2	38	31
2	39	43
2	40	38
3		27
3	1	17
3	2	16
3	3	17
3	4	35
3	5	19
3	6	30
3	7	38
3	8	36
3	9	24
3	10	20
3	11	47
3	12	8
3	13	59
3	14	57
3	15	33
3	16	34
3	17	16
3	18	30
3	19	37
3	20	27
3	21	24
3	22	33
3	23	44
3	24	23
3	25	55
3	26	46
3	27	34
4		36
4	1	54
4	2	34
4	3	51
4	4	49
4	5	31
4	6	27
4	7	89
4	8	26
4	9	23
4	10	36
4	11	35
4	12	16
4	13	33
4	14	45
4	15	41
4	16	50
4	17	13
4	18	32
4	19	22
4	20	29
4	21	35
4	22	41
4	23	30
4	24	25
4	25	18
4	26	65
4	27	23
4	28	31
4	29	40
4	30	16
4	31	54
4	32	42
4	33	56
4	34	29
4	35	34
4	36	13
5		34
5	1	46
5	2	37
5	3	29
5	4	49
5	5	33
5	6	25
5	7	26
5	8	20
5	9	29
5	10	22
5	11	32
5	12	32
5	13	18
5	14	29
5	15	23
5	16	22
5	17	20
5	18	22
5	19	21
5	20	20
5	21	23
5	22	30
5	23	25
5	24	22
5	25	19
5	26	19
5	27	26
5	28	68
5	29	29
5	30	20
5	31	30
5	32	52
5	33	29
5	34	12
6		24
6	1	18
6	2	24
6	3	17
6	4	24
6	5	15
6	6	27
6	7	26
6	8	35
6	9	27
6	10	43
6	11	23
6	12	24
6	13	33
6	14	15
6	15	63
6	16	10
6	17	18
6	18	28
6	19	51
6	20	9
6	21	45
6	22	34
6	23	16
6	24	33
7		21
7	1	36
7	2	23
7	3	31
7	4	24
7	5	31
7	6	40
7	7	25
7	8	35
7	9	57
7	10	18
7	11	40
7	12	15
7	13	25
7	14	20
7	15	20
7	16	31
7	17	13
7	18	31
7	19	30
7	20	48
7	21	25
8		4
8	1	22
8	2	23
8	3	18
8	4	22
9		31
9	1	28
9	2	36
9	3	21
9	4	22
9	5	12
9	6	21
9	7	17
9	8	22
9	9	27
9	10	27
9	11	15
9	12	25
9	13	23
9	14	52
9	15	35
9	16	23
9	17	58
9	18	30
9	19	24
9	20	42
9	21	15
9	22	23
9	23	29
9	24	22
9	25	44
9	26	25
9	27	12
9	28	25
9	29	11
9	30	31
9	31	13
10		24
10	1	27
10	2	32
10	3	39
10	4	12
10	5	25
10	6	23
10	7	29
10	8	18
10	9	13
10	10	19
10	11	27
10	12	31
10	13	39
10	14	33
10	15	37
10	16	23
10	17	29
10	18	33
10	19	43
10	20	26
10	21	22
10	22	51
10	23	39
10	24	25
11		22
11	1	53
11	2	46
11	3	28
11	4	34
11	5	18
11	6	38
11	7	51
11	8	66
11	9	28
11	10	29
11	11	43
11	12	33
11	13	34
11	14	31
11	15	34
11	16	34
11	17	24
11	18	46
11	19	21
11	20	43
11	21	29
11	22	53
12		25
12	1	18
12	2	25
12	3	27
12	4	44
12	5	27
12	6	33
12	7	20
12	8	29
12	9	37
12	10	36
12	11	21
12	12	21
12	13	25
12	14	29
12	15	38
12	16	20
12	17	41
12	18	37
12	19	37
12	20	21
12	21	26
12	22	20
12	23	37
12	24	20
12	25	30
13		29
13	1	54
13	2	55
13	3	24
13	4	43
13	5	26
13	6	81
13	7	40
13	8	40
13	9	44
13	10	14
13	11	47
13	12	40
13	13	14
13	14	17
13	15	29
13	16	43
13	17	27
13	18	17
13	19	19
13	20	8
13	21	30
13	22	19
13	23	32
13	24	31
13	25	31
13	26	32
13	27	34
13	28	21
13	29	30
14		36
14	1	17
14	2	18
14	3	17
14	4	22
14	5	14
14	6	42
14	7	22
14	8	18
14	9	31
14	10	19
14	11	23
14	12	16
14	13	22
14	14	15
14	15	19
14	16	14
14	17	19
14	18	34
14	19	11
14	20	37
14	21	20
14	22	12
14	23	21
14	24	27
14	25	28
14	26	23
14	27	9
14	28	27
14	29	36
14	30	27
14	31	21
14	32	33
14	33	25
14	34	33
14	35	27
14	36	23
15		10
15	1	11
15	2	70
15	3	13
15	4	24
15	5	17
15	6	22
15	7	28
15	8	36
15	9	15
15	10	44
16		13
16	1	11
16	2	20
16	3	32
16	4	23
16	5	19
16	6	19
16	7	73
16	8	18
16	9	38
16	10	39
16	11	36
16	12	47
16	13	31
17		10
17	1	22
17	2	23
17	3	15
17	4	17
17	5	14
17	6	14
17	7	10
17	8	17
17	9	32
17	10	3
18		42
18	1	22
18	2	13
18	3	26
18	4	21
18	5	27
18	6	30
18	7	21
18	8	22
18	9	35
18	10	22
18	11	20
18	12	25
18	13	28
18	14	22
18	15	35
18	16	22
18	17	16
18	18	21
18	19	29
18	20	29
18	21	34
18	22	30
18	23	17
18	24	25
18	25	6
18	26	14
18	27	23
18	28	28
18	29	25
18	30	31
18	31	40
18	32	22
18	33	33
18	34	37
18	35	16
18	36	33
18	37	24
18	38	41
18	39	30
18	40	24
18	41	34
18	42	17
19		150
19	1	6
19	2	12
19	3	8
19	4	8
19	5	12
19	6	10
19	7	17
19	8	9
19	9	20
19	10	18
19	11	7
19	12	8
19	13	6
19	14	7
19	15	5
19	16	11
19	17	15
19	18	50
19	19	14
19	20	9
19	21	13
19	22	31
19	23	6
19	24	10
19	25	22
19	26	12
19	27	14
19	28	9
19	29	11
19	30	12
19	31	24
19	32	11
19	33	22
19	34	22
19	35	28
19	36	12
19	37	40
19	38	22
19	39	13
19	40	17
19	41	13
19	42	11
19	43	5
19	44	26
19	45	17
19	46	11
19	47	9
19	48	14
19	49	20
19	50	23
19	51	19
19	52	9
19	53	6
19	54	7
19	55	23
19	56	13
19	57	11
19	58	11
19	59	17
19	60	12
19	61	8
19	62	12
19	63	11
19	64	10
19	65	13
19	66	20
19	67	7
19	68	35
19	69	36
19	70	5
19	71	24
19	72	20
19	73	28
19	74	23
19	75	10
19	76	12
19	77	20
19	78	72
19	79	13
19	80	19
19	81	16
19	82	8
19	83	18
19	84	12
19	85	13
19	86	17
19	87	7
19	88	18
19	89	52
19	90	17
19	91	16
19	92	15
19	93	5
19	94	23
19	95	11
19	96	13
19	97	12
19	98	9
19	99	9
19	100	5
19	101	8
19	102	28
19	103	22
19	104	35
19	105	45
19	106	48
19	107	43
19	108	13
19	109	31
19	110	7
19	111	10
